MO - Detalle Avisos Activos,Detalle Avisos Activos
MO - Limite de credito Usuarios No Suspendidos,Diario -Limite de credito Usuarios no suspendidos
MO - Txs PS Mayores a 500 - 8AM,Diario - Txs PS Mayores a 500 - 8AM
MO - Txs PS Mayores a 500 - 16PM,Diario - Txs PS Mayores a 500 - 16PM
MO - Destaques contratados el dia anterior,Diario - Destaques contratados el dia anterior
MO - Destaques del día anterior,Diario - Destaques del día anterior
MO - Usuarios Registrados entre Fechas,Usuarios que se registraron en determinadas fechas
MO - Consistencia - Lotes que van a generarse,Lotes que van a generarse
MO - Consistencia - Cuentas de PS con saldo <> 0, con info de cargos confirmados y enlotados,Cuentas de PS con saldo <> 0, con info de cargos confirmados y enlotados
MO - Monitoreo - Cantidad de usuarios que no validaron su registro ayer,Cantidad de usuarios que no validaron su registro ayer
MO - Consistencia - Cuentas de PS con saldo <> 0,Cuentas de PS con saldo <> 0
MO - DDestaques Dia Anterior,Diario - Destaques Dia Anterior
MO - Pago Seguro - Mediaciones ,Mediaciones de PS
MO - Usuarios Registrados Mery,Reporte Usuarios Registrados Newsletter Mery
MO - Consistencia - Operaciones de PS PENDIENTES hace mas de 14 días,Operaciones de PS PENDIENTES hace mas de 14 días
MO - Consistencia - Operaciones PS NUEVAs cuya calificacion ya fue definida,Operaciones PS NUEVAs cuya calificacion ya fue definida
MO - Consistencia - Cargos de transacciones sin PS GENERADOs hace mas de 26 dias ,Cargos de transacciones sin PS GENERADOs hace mas de 26 dias 
MO - Consistencia - Calificaciones PENDIENTEs sin PS hace mas de 26 días,Calificaciones PENDIENTEs sin PS hace mas de 26 días
MO - Consistencia - Cargos GENERADOs hace mas de 26 dias con calificacion confirmada,Cargos GENERADOs hace mas de 26 dias con calificacion confirmada
MO - Consistencia - Pagos de PS ENVIADOs que no figuran en ERP_MOVIMIENTO,Pagos de PS ENVIADOs que no figuran en ERP_MOVIMIENTO
MO - Consistencia - Pagos de NPS ENVIADOs que no figuran en ERP_MOVIMIENTO,Pagos de NPS ENVIADOs que no figuran en ERP_MOVIMIENTO
MO - Consistencia - Pagos de DM ENVIADOs que no figuran en ERP_MOVIMIENTO,Pagos de DM ENVIADOs que no figuran en ERP_MOVIMIENTO
MO - Consistencia - Pagos de DM PENDIENTEs hace mas de 3 días,Pagos de DM PENDIENTEs hace mas de 3 días
MO - Consistencia - Pagos de NPS PENDIENTEs hace mas de 3 días,Pagos de NPS PENDIENTEs hace mas de 3 días
MO - Monitoreo - Registro de precio en pesos de las transacciones,Se está grabando el precio en pesos de las transacciones en todos los casos (operaciones de ayer)?
MO - Monitoreo - Actividad del proceso de cierre de avisos,Actividad del proceso de cierre de avisos
MO - Monitoreo - Consistencia de las fechas de las subastas,Consistencia de las fechas de las subastas
MO - Monitoreo - Actividad del login,Actividad del login (ayer)
