name,parameter_id,"case rpm.required when 1 then 'YES' else 'NO'end",sort_order,step
"BAC - Productos - Lista de precios",24,NO,1,1
"BAC - Controles - Pagos enviados que no figuran en ERP_MOVIMIENTO",66,YES,0,0
"BAC - Pines - Ventas por día (administración)",66,YES,0,0
"BAC - Cuenta Corriente - Listado de Ventas por producto",66,YES,0,0
"BAC - Cuenta Corriente - Resumen de Pagos",66,YES,4,0
"BAC - Log - Errores en el quemado de pines",66,YES,0,0
"BAC - Log - Business Exceptions",66,YES,0,0
"BAC - Log - Procesos",66,YES,0,0
"BAC - Cuenta Corriente - Listado de cargos",66,YES,6,0
"BAC - Controles - Cargos enviados que no figuran en ERP_MOVIMIENTO",66,YES,0,0
"BAC - Controles - Usuarios con mas de 1 pago en el dia",66,YES,0,0
"BAC - Cuenta Corriente - Listado de pagos con mas parametros ",66,YES,6,0
"BAC - Cuenta Corriente - Resumen de Pagos",20,NO,2,0
"BAC - Controles - Usuarios con mas de 1 pago en el dia",20,NO,0,0
"BAC - Controles - Pagos enviados que no figuran en ERP_MOVIMIENTO",67,YES,0,0
"BAC - Pines - Ventas por día (administración)",67,YES,0,0
"BAC - Cuenta Corriente - Listado de Ventas por producto",67,YES,0,0
"BAC - Cuenta Corriente - Resumen de Pagos",67,YES,5,0
"BAC - Log - Errores en el quemado de pines",67,YES,0,0
"BAC - Log - Business Exceptions",67,YES,0,0
"BAC - Cuenta Corriente - Listado de cargos",67,YES,7,0
"BAC - Controles - Cargos enviados que no figuran en ERP_MOVIMIENTO",67,YES,0,0
"BAC - Controles - Usuarios con mas de 1 pago en el dia",67,YES,0,0
"BAC - Cuenta Corriente - Listado de pagos con mas parametros ",67,YES,7,0
"BAC - Cuenta Corriente - Resumen de Pagos",4,NO,3,0
"BAC - Controles - Pagos enviados que no figuran en ERP_MOVIMIENTO",5,YES,0,0
"BAC - Controles - Pagos sin respuesta de Presea",5,YES,0,0
"BAC - Controles - Cargos enviados que no figuran en ERP_MOVIMIENTO",5,YES,0,0
"BAC - Cuenta Corriente - Listado de pagos con mas parametros ",18,YES,5,0
"BLOGS DE LA GENTE - Blogs creados por dia",74,YES,0,0
"BLOGS DE LA GENTE - Comentarios creados por dia",74,YES,0,0
"BLOGS DE LA GENTE - Lista de usuarios y mails",74,YES,0,0
"BLOGS DE LA GENTE - Posts creados por dia",74,YES,0,0
"BLOGS DE LA GENTE - Usuarios creados por dia",74,YES,0,0
"BLOGS DE LA GENTE - Blogs creados por dia",81,YES,0,0
"BLOGS DE LA GENTE - Comentarios creados por dia",81,YES,0,0
"BLOGS DE LA GENTE - Lista de usuarios y mails",81,YES,0,0
"BLOGS DE LA GENTE - Posts creados por dia",81,YES,0,0
"BLOGS DE LA GENTE - Usuarios creados por dia",81,YES,0,0
"BAC - Pines - Listado de pines",70,NO,0,0
"BAC - Clientes - Listado de clientes",70,NO,4,0
"BAC - Cuenta Corriente - Listado de cargos",70,NO,3,0
"BAC - Cuenta Corriente - Listado de cargos",11,YES,5,0
"BAC - Clientes - Listado de clientes",68,YES,5,0
"BAC - Cuenta Corriente - Listado de cargos",68,YES,2,0
"BAC - Cuenta Corriente - Listado de pagos con mas parametros ",68,YES,2,0
