C_invoice,Numero documento,Lote,Monto
1533950,1116185,1179510, 15.00
1532136,1115513,1176727, 49.00
1533106,1115772,1178673, 79.00
1533443,1115922,1178949, 79.00
1533489,1115943,1178995, 237.00
1533733,1116063,1179269, 79.00
1534323,1116381,1179938, 79.00
1534406,1116417,1180038, 158.00
1534430,1116433,1180063, 79.00
1534608,1116528,1181224, 49.00
1534931,1116684,1181695, 129.00
1534959,1116698,1181731, 79.00
1535514,1117029,1182695, 479.00
1535876,1117239,1183375, 479.00
1542906,1120975,1192243, 120.00
1542907,1120976,1192244, 15.00
1536429,1117592,1184489, 15.00
1536437,1117599,1184502, 60.00
1537227,1118070,1185440, 45.00
1544560,1121686,1193855, 49.00
1537751,1118400,1186931, 240.00
1537931,1118513,1187264, 60.00
1539338,1119409,1188712, 75.00
1542022,1120537,1191408, 30.00
1576494,1132316,1217923, 45.00
1542424,1120733,1191804, 309.00
1559371,1125887,1209742, 60.00
1575259,1131550,1216461, 45.00
1583236,1134320,1224562, 90.00
1545047,1121916,1194363, 60.00
1545241,1122011,1194558, 45.00
1550356,1123015,1200470, 90.00
1545582,1122086,1196297, 30.00
1555005,1124644,1204900, 60.00
1547396,1122188,1197320, 60.00
1548013,1122228,1197415, 30.00
1548123,1122239,1197442, 60.00
1548420,1122371,1197829, 99.00
1548421,1122372,1197830, 99.00
1548489,1122428,1197879, 99.00
1557431,1125342,1207633, 99.00
1554610,1124447,1204413, 99.00
1557713,1125484,1207925, 98.00
1576518,1132329,1217947, 49.00
1548528,1122458,1197932, 99.00
1557709,1125481,1207922, 198.00
1557711,1125482,1207923, 98.00
1548570,1122484,1197977, 198.00
1554611,1124448,1204414, 49.00
1557545,1125399,1207747, 99.00
1554090,1124158,1203829, 99.00
1548637,1122529,1198046, 49.00
1548644,1122536,1198056, 198.00
1548643,1122535,1198055, 99.00
1548646,1122538,1198058, 198.00
1599999,1138799,1240522, 30.00
1548672,1122557,1198072, 198.00
1548677,1122560,1198077, 49.00
1548700,1122575,1198101, 60.00
1548712,1122582,1198113, 98.00
1548718,1122586,1198120, 198.00
1548721,1122589,1198123, 49.00
1548745,1122604,1198148, 99.00
1559786,1126144,1210155, 99.00
1548755,1122612,1198158, 98.00
1548763,1122618,1198166, 99.00
1548769,1122623,1198174, 99.00
1554481,1124392,1204282, 99.00
1548803,1122645,1198207, 99.00
1548839,1122670,1198243, 49.00
1548853,1122681,1198258, 98.00
1548859,1122686,1198266, 99.00
1548865,1122689,1198269, 99.00
1548894,1122710,1198299, 99.00
1548901,1122714,1198307, 98.00
1548916,1122725,1198322, 99.00
1548925,1122730,1198330, 98.00
1559793,1126149,1210161, 99.00
1548961,1122747,1198364, 99.00
1557561,1125408,1207759, 98.00
1549038,1122779,1198426, 99.00
1557556,1125405,1207760, 99.00
1554149,1124200,1203913, 99.00
1549052,1122787,1198446, 49.00
1557494,1125370,1207700, 49.00
1549074,1122796,1198468, 98.00
1559695,1126085,1210071, 99.00
1559795,1126151,1210163, 49.00
1549312,1122843,1199856, 49.00
1559545,1125989,1209921, 99.00
1549569,1122871,1200180, 99.00
1550143,1122988,1200410, 99.00
1550291,1123005,1200452, 99.00
1550316,1123012,1200458, 98.00
1550369,1123017,1200475, 99.00
1550472,1123026,1200493, 60.00
1550667,1123039,1200520, 99.00
1550731,1123045,1200532, 49.00
1550750,1123048,1200536, 198.00
1551209,1123065,1200599, 198.00
1551225,1123071,1200615, 198.00
1601024,1139300,1241528, 198.00
1551257,1123083,1200646, 99.00
1551286,1123092,1200678, 99.00
1551294,1123096,1200685, 198.00
1551306,1123102,1200698, 99.00
1559551,1125993,1209925, 99.00
1551329,1123109,1200721, 45.00
1559550,1125992,1209924, 99.00
1551339,1123113,1200732, 99.00
1557764,1125503,1207977, 98.00
1566413,1126722,1213729, 49.00
1551377,1123129,1200774, 99.00
1559799,1126155,1210168, 49.00
1551417,1123140,1200814, 99.00
1551474,1123158,1200873, 198.00
1551523,1123175,1200936, 99.00
1583462,1134444,1224781, 98.00
1551593,1123202,1201013, 198.00
1551653,1123229,1201093, 35.00
1551752,1123284,1201202, 49.00
1551824,1123323,1201274, 49.00
1552178,1123438,1201671, 98.00
1552819,1123583,1202346, 35.00
1557293,1125270,1207500, 49.00
1553249,1123764,1202817, 45.00
1553303,1123786,1202873, 60.00
1583240,1134321,1224567, 60.00
1553788,1123996,1203416, 15.00
1554032,1124112,1203731, 49.00
1554039,1124117,1203739, 147.00
1554047,1124122,1203749, 49.00
1566707,1126873,1214019, 49.00
1554263,1124269,1204032, 149.00
1554311,1124304,1204094, 49.00
1604585,1140392,1243886, 49.00
1554557,1124413,1204361, 98.00
1594762,1137233,1235356, 98.00
1554953,1124613,1204807, 99.00
1556110,1124732,1206048, 198.00
