SYZ7C,Reception - ACIT - FU SOCIETE  
SYZ6VD,       
SYZSR,Emission Reporting Mensuel - ACHR   
SYZSP,Reception - APAT - FU EM ORPHELINS 
SYZSQ,Reception - APAT - FU EM ORPHELINS 
SYZST,Reception - APNL - SITEL VRM  
SYZSZ,Reception - APNL - SITEL CLI  
SYZRIAL,MISE EN ETAT MOUNT DE LA BASE 
SYZRIAL2,MISE EN ETAT MOUNT DE LA BASE 
SYZSC,Reception - ACNL - SITEL CLI  
SYZSG,Emission Reporting Journalier - ACSE   
SYZSD,Reception - ACNL - SB/CS   
SYZSJ,Reception - APAT - NEOLANE   
SYZSK,Emission Neolane Journalier - APAT   
SYZSH,Emission Reporting Journalier - ACDK   
SYZSI,Emission Reporting Journalier - ACNO   
SYZSN,Reception - APAT - FU EM ORPHELINS 
SYZSL,Emission - APAT - Neolane Mensuel  
SYZSM,Reception - APAT - FU EM ORPHELINS 
SYZS0,Reception - ACSK - FU VEHICULE  
SYZS1,Reception - APNL - SB/CS   
SYZS6,Emission Reporting Journalier - ACGB   
SYZS4,Emission Reporting Journalier - ACHU   
SYZS5,Emission Reporting Journalier - ACCZ   
SYZSYD,DEBUT BATCH FONCTIONNEL CONVERGENCE    
SYZS8,Emission Reporting Journalier - APAT   
SYZS9,Emission - APAT - Reporting Mensuel  
UVS05,Surveillance       
SYZAH,Reception - ACSE - AAA   
SYZAK,Reception - ACSE - FICHS. INTRANET  
SYZAL,Reception - ACSE - SAGAI   
SYZAO,Reception - APPT - FU EM ORPHELINS 
SYZAA,Reception - ACSE - DIALOG   
SYZAB,Reception - ACSE - ARCAD   
SYZAC,Reception - ACSE - AO   
SYZAD,Reception - ACSE - CPP   
SYZAE,Reception - ACSE - AI   
SYZAG,Emission Neolane Journalier - ACES   
SYZ3B,Alimentation ARCAD      
SYZ3C,Alimentation AO      
SYZAZ,Reception - ACDK - AO   
AUD00,Reporte periodico solicitado por Espania   
SYZ3F,Alimentation NEOLANE      
SYZ3G,Alimentation FU      
ORAAL,Monitoreo del alert de la base oracle. 
SYZ3E,Alimentation AI      
SYZAQ,Reception - ACSE - SITEL CLI  
SYZ3H,Alimentation REPRISE      
SYZ3I,Alimentation AAA      
SYZAU,Reception - ACSE - NEOLANE   
SYZAV,Emission Reporting Journalier - APIT   
SYZAW,Reception - ACSE - FU EM ORPHELINS 
SYZFY,Reception - ACBE - AI   
SYZFX,Reception - ACBE - CPP   
SYZFZ,Reception - ACBE - ARCAD V2  
SYZFU,Reception - ACBE - DIALOG   
SYZFT,Reception - ACGB - CPP   
SYZFW,Reception - ACBE - AO   
SYZFV,Reception - ACBE - ARCAD   
SYZFP,Reception - RECEPTION - ACES - GDO 
SYZFS,Reception - ACGB - CPP   
SYZFR,Reception - ACGB - CPP   
SYZFL,Reception - ACES - SITEL CLI  
SYZHPR,Reception - ACFR - Repris - Véhicules 
SYZCE3,Emission CUSCO Mensuel - ACES   
SYZCE4,Emission CUSCO Mensuel - ACIT   
SYZFH,Reception - ACES - SAGAI   
SYZCE6,Emission CUSCO Mensuel - ACIT   
SYZFJ,Reception - ACES - CUSCO   
SYZFE,Reception - ACES - OPV   
SYZFD,Emission Reporting Mensuel - ACBE   
SYZFG,Reception - ACES - FICHS. INTRANET  
SYZFF,Reception - ACES - SITEL VRM  
SYZFA,Reception - ACES - AI   
SYZFC,Emission Reporting Journalier - ACBE   
SYZFB,Reception - ACES - ARCAD V2  
SYZZ9,Reception - ACCZ - FU EM ORPHELINS 
SYZZ8,Reception - ACHU - FU VEHICULE  
SYZF5,Reception - ACBE - FICHS. INTRANET  
SYZF4,Reception - ACBE - SITEL VRM  
SYZF7,Reception - ACBE - NSID   
SYZF6,Reception - ACBE - SAGAI   
SYZF1,Reception - ACBE - NEOLANE   
SYZF3,Reception - ACBE - OPV   
SYZF2,Reception - ACPL - NEOLANE   
UVS03,Sauvegarde       
ORAHR,Monitoreo de undo y sort.   
SYZXC,Reception - ACTR - SITEL VRM  
SYZXA,Reception - ACPL - FU VEHICULE  
SYZXN,Reception - ACPL - FU PARTICULIER  
SYZXM,Reception - ACPL - FU EM ORPHELINS 
SYZHP,Reception - ACFR - Reprise - Véhicules 
SYZXJ,Reception - ACTR - SB/CS   
SYZXI,Reception - ACTR - SITEL CLI  
SYZA8,Reception - ACDK - FICHS. INTRANET  
SYZA9,Reception - ACDK - SAGAI   
SYZXU,Reception - ACAT - FU EM ORPHELINS 
SYZXT,Reception - ACAT - FU EM ORPHELINS 
SYZXS,Emission - ACAT - Neolane Mensuel  
SYZXR,Emission Neolane Journalier - ACAT   
SYZXQ,Reception - ACAT - NEOLANE   
SYZXP,Reception - ACPL - FU SOCIETE  
SYZA0,Emission Reporting Mensuel - ACSK   
SYZA1,Reception - ACDK - CPP   
SYZA2,Reception - ACDK - AI   
SYZA4,Emission - ACES - Neolane Mensuel  
SYZA5,Emission Reporting Mensuel - APIT   
SYZA7,Reception - ACDK - SITEL VRM  
SYZHZ,Emission SAGAI Journalier - ACNO   
SYZSB,Reception - CSSB     
SYZU4R,Reception - ACFR - Reprise - Contacts 
SYZN8,Reception - ACHU - FU SOCIETE  
SYZHD,Reception - APGB - OPV   
SYZHC,Emission SAGAI Journalier - ACDK   
SYZ8P,Traitement purge d'evenements     
SYZ8X,DB Information      
SYZHH,Reception - APGB - NSID   
SYZM5,Reception - ACPT - ARCAD V2  
SYZT2,Emission Neolane Mensuel - ACHR   
SYZT4,Reception - APCH - SITEL VRM  
UVSKG,kill des process graphique    
RMN_F,RMAN FULL TEMPORAL     
RMN_I,RMAN INC TEMPORAL     
SYZM3,Reception - ACPT - CPP   
SYZSYF,FIN BATCH FONCTIONNEL CONVERGENCE    
SYZTK,Batch Token      
SYZTH,Reception - SITEL     
SYZTN,Reception - ACCH - SB/CS   
SYZTM,Reception - ACCH - SITEL CLI  
SYZTC,Reception - APBE - FU EM ORPHELINS 
SYZTB,Reception - APBE - FU EM ORPHELINS 
SYZTA,Reception - APBE - FU EM ORPHELINS 
SYZTG,Reception - ACCH - SITEL VRM  
SYZTE,Reception - ACHR - FU EM ORPHELINS 
SYZTD,Reception - APBE - FU EM ORPHELINS 
SYZTX,Reception - APCH - PPP   
SYZTS,Reception - ACFR - FU PARTICULIER  
SYZTR,Reception - ACFR - FU EM ORPHELINS 
SYZTT,Reception - ACFR - FU SOCIETE  
SYZLNSA,Lanzador Sabado      
SYZK8,Emission SAGAI Journalier - ACES   
SYZK4,Reception - APCZ - PPP   
SYZB1,Reception - ACNO - SITEL CLI  
SYZB2,Reception - ACNO - SB/CS   
SYZB5,Reception - ACNO - NEOLANE   
SYZB7,Reception - ACNO - FU PARTICULIER  
SYZB6,Emission Neolane Journalier - ACBE   
SYZB9,Reception - ACHU - ARCAD   
SYZB8,Reception - ACHU - DIALOG   
SYZ4K,Post Trait- 13     
SYZBC,Batch control before begin batch FUNC  
SYZ4H,Extraccion CUSCO      
SYZ4O,Suivi Base Week-End     
SYZ4N,Suivi Base Semanal     
SYZ4M,Post Tr FUSION     
SYZ4L,Coherence tabl Identification     
SYZ4C,Extraction Reporting Journalier     
SYZ4B,Extraction Neolane Journalier     
SYZ4A,Post Traitement      
SYZBJ,Reception - ACDK - FU PARTICULIER  
SYZ4G,Calcul des Compteurs     
SYZ4F,Calcul d' Etat     
SYZ4E,Extraction Reporting Mensuel     
SYZ4D,Extraction Neolane Mensuel     
SYZBP,Reception - ACNO - AI   
SYZBS,Emission Neolane Mensuel - ACBE   
SYZBR,Emission Reporting Journalier - ACES   
SYZBU,Reception - ACNO - SITEL VRM  
SYZBW,Reception - ACNO - SAGAI   
SYZBV,Reception - ACNO - FICHS. INTRANET  
SYZBX,Reception - ACNO - NSID   
SYZ4W,Gestion des WARNINGS     
SYZU2R,Reception - ACFR - Reprise - Soc. 
SYZKK,Emission SAGAI Journalier - ACPL   
SYZKH,Reception - APBE - AI   
SYZKI,Reception - APBE - ARCAD V2  
SYZKL,Reception - APBE - OPV   
SYZKM,Reception - APBE - SITEL VRM  
SYZKB,Emission Neolane Mensuel - ACDK   
SYZKC,Emission Neolane Mensuel - ACNO   
SYZKA,Emission Neolane Mensuel - ACSE   
SYZKF,Reception - APBE - AO   
SYZKG,Reception - APBE - PPP   
SYZKD,Reception - APBE - DIALOG   
SYZKE,Reception - APBE - ARCAD   
SYZKZ,Emission Neolane Mensuel - ACGB   
SYZKX,Emission Neolane Mensuel - ACHU   
SYZKY,Emission Neolane Mensuel - ACCZ   
SYZKP,Reception - APBE - SAGAI   
SYZKQ,Reception - APBE - NSID   
SYZKT,Reception - APBE - SITEL CLI  
SYZKU,Reception - APBE - SB/CS   
SYZP8,Reception - APDE - SITEL VRM  
SYZP6,Reception - ACHR - FU VEHICULE  
SYZP2,Reception - APDE - PPP   
SYZYG,Reception - ACSI - CPP   
SYZYI,Emission Reporting Journalier - ACAT   
SYZYJ,Emission - ACAT - Reporting Mensuel  
SYZYK,Reception - ACIT - UNRAE   
SYZCICLA,CICLADOS Tratamiento diario     
SYZYM,Reception - ACSI - SITEL VRM  
SYZYT,Reception - ACSI - SITEL CLI  
SYZYU,Reception - ACSI - SB/CS   
SYZ6D,DB Reports      
SYZYX,Reception - ACHU - FU EM ORPHELINS 
SYZYY,Reception - ACCZ - FU EM ORPHELINS 
SYZYZ,Reception - ACGB - FU EM ORPHELINS 
ORADY,Monitoreo de espacio y objs. inval.  
SYZLA,Reception - APCZ - SITEL VRM  
SYZD22,Emission MATRICS - APIT    
SYZY1,Reception - ACSE - FU EM ORPHELINS 
SYZY2,Reception - ACDK - FU EM ORPHELINS 
SYZD21,Emission MATRICS - APIT    
SYZY4,Reception - ACHR - CPP   
SYZY5,Reception - ACHR - AI   
SYZY6,Reception - ACHR - ARCAD V2  
SYZY8,Reception - ACDE - FU EM ORPHELINS 
SYZ6B,RAPPORT MATINAL      
SYZPX,Reception - ACES - FU EM VEHICULE 
SYZPW,Reception - ACES - FU EM SOCIETE 
SYZPV,Reception - ACES - FU PARTICULIER  
SYZPT,Reception - RECEPTION - ACDE - GDO 
SYZPS,Reception - ACDE - SB/CS   
SYZPR,Reception - ACDE - SITEL CLI  
SYZXX,Reception - APIT - UNRAE   
SYZPO,Reception - ACDE - CUSCO   
SYZPN,Reception - ACDE - NSID   
SYZPM,Reception - ACDE - SAGAI   
SYZPL,Reception - ACDE - FICHS. INTRANET  
SYZPK,Reception - ACDE - SITEL VRM  
SYZPJ,Reception - ACDE - OPV   
SYZPI,Reception - ACHR - FU SOCIETE  
SYZPG,Reception - ACDE - ARCAD V2  
SYZPF,Reception - ACDE - AI   
SYZPE,Reception - ACDE - CPP   
SYZPD,Reception - ACDE - AO   
SYZPC,Reception - ACDE - ARCAD   
SYZPB,Reception - ACDE - DIALOG   
SYZPA,Reception - ACES - FU EM ORPHELINS 
SYZ6X,ENVOI CFTxFTP      
SYZG8,Reception - APGB - PPP   
SYZG9,Reception - APGB - AI   
SYZG6,Reception - APGB - ARCAD   
SYZG7,Reception - APGB - AO   
SYZG5,Reception - APGB - DIALOG   
SYZLL,Reception - APPT - ROSIL   
SYZ6LAB,lancements après le batch    
SYZLG,Reception - APCZ - SITEL CLI  
SYZLK,Emission Neolane Journalier - ACSK   
SYZLH,Reception - APCZ - SB/CS   
SYZLO,Emission Reporting Journalier - ACSK   
SYZLN,Reception - ACSK - DIALOG   
SYZLM,Emission Neolane Mensuel - ACSK   
SYZ00,Reception - FILI - DIALOG   
SYZLS,Reception - ACSK - AI   
SYZLR,Reception - ACSK - CPP   
SYZLQ,Reception - ACSK - AO   
SYZLP,Reception - ACSK - ARCAD   
SYZLV,Emission SAGAI Journalier - ACFR   
SYZLT,Reception - ACSK - ARCAD V2  
SYZLZ,Reception - ACSK - SAGAI   
SYZLY,Reception - ACSK - FICHS. INTRANET  
SYZLX,Reception - ACSK - SITEL VRM  
SYZWV,Reception - APRU - SITEL CLI  
SYZL1,Reception - ACSK - NSID   
SYZL0,Reception - ACSK - NEOLANE   
SYZL6,Reception - RECEPTION - ACSK - GDO 
SYZL5,Reception - ACSI - SB/CS   
SYZL4,Reception - ACSK - SITEL CLI  
SYZL9,Emission Neolane Journalier - APPT   
SYZL8,Emission Neolane Mensuel - APPT   
SYZAX,Reception - ACDK - DIALOG   
SYZGX,Reception - APFR - SITEL CLI  
SYZGY,Reception - APFR - SB/CS   
SYZGR,Reception - APFR - SITEL VRM  
SYZGP,Emission SAGAI Journalier - ACSE   
SYZGK,Reception - APFR - PPP   
SYZME,Reception - APSK - PPP   
UVSSA,Prise en compte securite    
SYZ99,HOLD pour tous session du DIALOG - 
SYZGB,Reception - ACBE - SB/CS   
SYZGC,Reception - RECEPTION - ACBE - GDO 
SYZGA,Reception - ACBE - SITEL CLI  
SYZ3D,Alimentation CPP      
SYZAR,Reception - ACSE - SB/CS   
SYZUP,Emission Neolane Journalier - ACHR   
SYZUR,Reception - APES - SITEL VRM  
SYZUX,Reception - APES - SITEL CLI  
SYZUY,Reception - APES - SB/CS   
SYZUE,Reception - ACFR - FU VEHICULE  
SYZUF,Reception - APIT - FU EM ORPHELINS 
SYZUG,Reception - APIT - FU PARTUCULIER  
SYZUA,Reception - APCH - SITEL CLI  
SYZUB,Reception - APCH - SB/CS   
SYZSYFT,       
SYZUK,Reception - APUK - PPP   
